999999	999999	999999	336.0919367	999999	999999	999999	434.573118	999999	218.2286455	999999	999999	999999	608.5353028	999999	999999	999999	999999	647.8803531	999999	411.5589777	999999
999999	999999	582.3229152	999999	999999	999999	999999	999999	999999	999999	999999	406.5667354	354.7778969	999999	248.9006061	612.2493429	999999	999999	999999	999999	999999	999999
999999	582.3229152	999999	999999	999999	999999	586.6612422	999999	417.3922229	999999	999999	999999	240.8495204	999999	999999	203.7893259	655.9728653	999999	999999	999999	999999	999999
336.0919367	999999	999999	999999	999999	536.7049951	999999	488.3769882	999999	507.7404407	999999	999999	999999	999999	999999	999999	999999	644.6822916	999999	999999	999999	999999
999999	999999	999999	999999	999999	999999	491.4122135	999999	448.5524759	999999	661.3118611	999999	999999	999999	999999	999999	160.2076766	999999	999999	302.540407	999999	508.0149146
999999	999999	999999	536.7049951	999999	999999	999999	562.996968	999999	999999	999999	999999	999999	999999	999999	999999	999999	405.2304971	999999	999999	999999	999999
999999	999999	586.6612422	999999	491.4122135	999999	999999	999999	517.1334685	999999	441.4144315	927.5381797	657.4025782	999999	999999	405.4647881	442.8382197	999999	625.9581479	683.087554	999999	596.1304443
434.573118	999999	999999	488.3769882	999999	562.996968	999999	999999	999999	353.6424044	660.3723237	999999	999999	999999	999999	999999	999999	310.4164341	313.8663986	999999	454.5113882	999999
999999	999999	417.3922229	999999	448.5524759	999999	517.1334685	999999	999999	999999	999999	999999	644.0826082	999999	999999	436.3464285	288.7857903	999999	999999	344.5459434	999999	999999
218.2286455	999999	999999	507.7404407	999999	999999	999999	353.6424044	999999	999999	999999	999999	999999	521.5875952	999999	999999	999999	663.9169871	469.0095203	999999	201.519605	999999
999999	999999	999999	999999	661.3118611	999999	441.4144315	660.3723237	999999	999999	999999	999999	999999	999999	999999	999999	999999	619.055645	397.3230677	999999	999999	348.6341353
999999	406.5667354	999999	999999	999999	999999	927.5381797	999999	999999	999999	999999	999999	573.6233322	510.6686789	447.9675499	999999	999999	999999	975.1837534	999999	694.2131966	999999
999999	354.7778969	240.8495204	999999	999999	999999	657.4025782	999999	644.0826082	999999	999999	573.6233322	999999	999999	603.6784312	268.7278583	999999	999999	999999	999999	999999	999999
608.5353028	999999	999999	999999	999999	999999	999999	999999	999999	521.5875952	999999	510.6686789	999999	999999	999999	999999	999999	999999	999999	999999	436.4131138	999999
999999	248.9006061	999999	999999	999999	999999	999999	999999	999999	999999	999999	447.9675499	603.6784312	999999	999999	999999	999999	999999	999999	999999	999999	999999
999999	612.2493429	203.7893259	999999	999999	999999	405.4647881	999999	436.3464285	999999	999999	999999	268.7278583	999999	999999	999999	593.8914063	999999	999999	999999	999999	999999
999999	999999	655.9728653	999999	160.2076766	999999	442.8382197	999999	288.7857903	999999	999999	999999	999999	999999	999999	593.8914063	999999	999999	999999	244.0525465	999999	633.7259093
999999	999999	999999	644.6822916	999999	405.2304971	999999	310.4164341	999999	663.9169871	619.055645	999999	999999	999999	999999	999999	999999	999999	454.0279216	999999	999999	845.9392165
647.8803531	999999	999999	999999	999999	999999	625.9581479	313.8663986	999999	469.0095203	397.3230677	975.1837534	999999	999999	999999	999999	999999	454.0279216	999999	999999	423.9539249	999999
999999	999999	999999	999999	302.540407	999999	683.087554	999999	344.5459434	999999	999999	999999	999999	999999	999999	999999	244.0525465	999999	999999	999999	999999	999999
411.5589777	999999	999999	999999	999999	999999	999999	454.5113882	999999	201.519605	999999	694.2131966	999999	436.4131138	999999	999999	999999	999999	423.9539249	999999	999999	999999
999999	999999	999999	999999	508.0149146	999999	596.1304443	999999	999999	999999	348.6341353	999999	999999	999999	999999	999999	633.7259093	845.9392165	999999	999999	999999	999999
